case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n6_irregular_f0.1_d3.0,holdout,6,irregular,0.10000000000000001,3,0.0049475877137842893,0.0049475877137842867,2.6020852139652106e-18,0.0046613242604374803,0.057859197230452054,0.0049477986142728962,0.0066638209883381882,1.0000426269327216,1.3468828394436281,0.010176167117332711
n6_irregular_f0.1_d4.0,holdout,6,irregular,0.10000000000000001,4,0.0021751039794111007,0.0021751039794111011,4.3368086899420177e-19,0.0019664961723720618,0.095907050427777182,0.0021755346141631503,0.0029173985790419263,1.0001979835245236,1.3412685584952118,0.022105430348429878
n6_irregular_f0.1_d6.0,holdout,6,irregular,0.10000000000000001,6,0.00071157784127994872,0.00071157784127994796,7.589415207398531e-19,0.00058266553255468504,0.18116402907288737,0.00071258129240282981,0.00094801281249603706,1.0014101775865827,1.3322685973340633,0.059737057407263254
n6_irregular_f0.1_d10.0,holdout,6,irregular,0.10000000000000001,10,0.00018938801579050153,0.00018938801579050134,1.8973538018496328e-19,0.00012585575503181202,0.33546082888881368,0.00019134271029435762,0.00025373648500475132,1.0103211097898535,1.3397705443275327,0.16028774339157456
n6_irregular_f0.4_d2.1,holdout,6,irregular,0.40000000000000002,2.1000000000000001,0.056027576855328873,0.056027576855328748,1.2490009027033011e-16,0.054359466594023145,0.029773021696313993,0.056027898203358538,0.075718681294170337,1.0000057355332468,1.351453793721739,0.0037082405090208205
n6_irregular_f0.4_d2.5,holdout,6,irregular,0.40000000000000002,2.5,0.033609244414117161,0.033609244414117133,2.7755575615628914e-17,0.032219073288143878,0.041362760460908539,0.033609763887492324,0.045356702462436303,1.0000154562646155,1.3495305608056098,0.0061044195962825726
n6_irregular_f0.4_d3.0,holdout,6,irregular,0.40000000000000002,3,0.019790350855137157,0.019790350855137147,1.0408340855860843e-17,0.018645297041749921,0.057859197230452054,0.019791194457091585,0.026655283953352753,1.0000426269327216,1.3468828394436281,0.010176167117332711
n6_irregular_f0.4_d4.0,holdout,6,irregular,0.40000000000000002,4,0.0087004159176444027,0.0087004159176444044,1.7347234759768071e-18,0.0078659846894882472,0.095907050427777182,0.008702138456652601,0.011669594316167705,1.0001979835245236,1.3412685584952118,0.022105430348429878
n6_irregular_f0.4_d6.0,holdout,6,irregular,0.40000000000000002,6,0.0028463113651197949,0.0028463113651197918,3.0357660829594124e-18,0.0023306621302187401,0.18116402907288737,0.0028503251696113193,0.0037920512499841482,1.0014101775865827,1.3322685973340633,0.059737057407263254
n6_irregular_f0.4_d10.0,holdout,6,irregular,0.40000000000000002,10,0.0007575520631620061,0.00075755206316200534,7.589415207398531e-19,0.00050342302012724809,0.33546082888881368,0.00076537084117743047,0.0010149459400190053,1.0103211097898535,1.3397705443275327,0.16028774339157456
n6_irregular_f0.8_d2.1,holdout,6,irregular,0.80000000000000004,2.1000000000000001,0.11205515371065777,0.1120551537106575,2.7755575615628914e-16,0.10871893318804629,0.029773021696313993,0.11205579640671708,0.15143736258834067,1.0000057355332468,1.351453793721739,0.0037082405090208205
n6_irregular_f0.8_d2.5,holdout,6,irregular,0.80000000000000004,2.5,0.067218488828234335,0.067218488828234266,6.9388939039072284e-17,0.064438146576287755,0.041362760460908539,0.067219527774984647,0.090713404924872607,1.0000154562646155,1.3495305608056098,0.0061044195962825726
n6_irregular_f0.8_d3.0,holdout,6,irregular,0.80000000000000004,3,0.039580701710274294,0.039580701710274294,0,0.037290594083499842,0.057859197230452054,0.03958238891418317,0.053310567906705505,1.0000426269327216,1.3468828394436281,0.010176167117332711
n6_irregular_f0.8_d4.0,holdout,6,irregular,0.80000000000000004,4,0.017400831835288833,0.017400831835288809,2.4286128663675299e-17,0.015731969378976494,0.095907050427777182,0.017404276913305202,0.02333918863233541,1.0001979835245236,1.3412685584952118,0.022105430348429878
n6_irregular_f0.8_d6.0,holdout,6,irregular,0.80000000000000004,6,0.0056926227302395854,0.0056926227302395837,1.7347234759768071e-18,0.0046613242604374803,0.18116402907288737,0.0057006503392226385,0.0075841024999682965,1.0014101775865827,1.3322685973340633,0.059737057407263254
n6_irregular_f0.8_d10.0,holdout,6,irregular,0.80000000000000004,10,0.0015151041263240137,0.0015151041263240107,3.0357660829594124e-18,0.0010068460402544962,0.33546082888881368,0.0015307416823548609,0.0020298918800380106,1.0103211097898535,1.3397705443275327,0.16028774339157456
